id,name,creator_name,author_name,book_name,puzzle_image,solution_image,notes
20,cross_word_20,Cole Burnham,,easy crosswords v20,cross_word_20.jpg,cross_word_20_solution.jpg,
21,cross_word_21,Cole Burnham,,easy crosswords v21,cross_word_21.jpg,cross_word_21_solution.jpg,
22,cross_word_22,Cole Burnham,,easy crosswords v22,cross_word_22.jpg,cross_word_22_solution.jpg,
23,cross_word_23,Cole Burnham,,easy crosswords v23,cross_word_23.jpg,cross_word_23_solution.jpg,
24,cross_word_24,Cole Burnham,,easy crosswords v24,cross_word_24.jpg,cross_word_24_solution.jpg,
25,cross_word_25,Cole Burnham,,easy crosswords v25,cross_word_25.jpg,cross_word_25_solution.jpg,
26,cross_word_26,Cole Burnham,,easy crosswords v26,cross_word_26.jpg,cross_word_26_solution.jpg,
27,cross_word_27,Cole Burnham,,easy crosswords v27,cross_word_27.jpg,cross_word_27_solution.jpg,
28,cross_word_28,Cole Burnham,,easy crosswords v28,cross_word_28.jpg,cross_word_28_solution.jpg,
29,cross_word_29,Cole Burnham,,easy crosswords v29,cross_word_29.jpg,cross_word_29_solution.jpg,
30,cross_word_30,Cole Burnham,,easy crosswords v30,cross_word_30.jpg,cross_word_30_solution.jpg,
31,cross_word_31,Cole Burnham,,easy crosswords v31,cross_word_31.jpg,cross_word_31_solution.jpg,
32,cross_word_32,Cole Burnham,,easy crosswords v32,cross_word_32.jpg,cross_word_32_solution.jpg,
33,cross_word_33,Cole Burnham,,easy crosswords v33,cross_word_33.jpg,cross_word_33_solution.jpg,
34,cross_word_34,Cole Burnham,,easy crosswords v34,cross_word_34.jpg,cross_word_34_solution.jpg,
35,cross_word_35,Cole Burnham,,easy crosswords v35,cross_word_35.jpg,cross_word_35_solution.jpg,
36,cross_word_36,Cole Burnham,,easy crosswords v36,cross_word_36.jpg,cross_word_36_solution.jpg,
37,cross_word_37,Cole Burnham,,easy crosswords v37,cross_word_37.jpg,cross_word_37_solution.jpg,
38,cross_word_38,Cole Burnham,,easy crosswords v38,cross_word_38.jpg,cross_word_38_solution.jpg,
39,cross_word_39,Cole Burnham,,easy crosswords v39,cross_word_39.jpg,cross_word_39_solution.jpg,
40,cross_word_40,Cole Burnham,,easy crosswords v40,cross_word_40.jpg,cross_word_40_solution.jpg,
41,cross_word_41,Cole Burnham,,easy crosswords v41,cross_word_41.jpg,cross_word_41_solution.jpg,
42,cross_word_42,Cole Burnham,,easy crosswords v42,cross_word_42.jpg,cross_word_42_solution.jpg,
43,cross_word_43,Cole Burnham,,easy crosswords v43,cross_word_43.jpg,cross_word_43_solution.jpg,
44,cross_word_44,Cole Burnham,,easy crosswords v44,cross_word_44.jpg,cross_word_44_solution.jpg,
45,cross_word_45,Cole Burnham,,easy crosswords v45,cross_word_45.jpg,cross_word_45_solution.jpg,
46,cross_word_46,Cole Burnham,,easy crosswords v46,cross_word_46.jpg,cross_word_46_solution.jpg,
47,cross_word_47,Cole Burnham,,easy crosswords v47,cross_word_47.jpg,cross_word_47_solution.jpg,
48,cross_word_48,Cole Burnham,,easy crosswords v48,cross_word_48.jpg,cross_word_48_solution.jpg,
49,cross_word_49,Cole Burnham,,easy crosswords v49,cross_word_49.jpg,cross_word_49_solution.jpg,
50,cross_word_50,Cole Burnham,,easy crosswords v50,cross_word_50.jpg,cross_word_50_solution.jpg,
51,cross_word_51,Cole Burnham,,easy crosswords v51,cross_word_51.jpg,cross_word_51_solution.jpg,
52,cross_word_52,Cole Burnham,,easy crosswords v52,cross_word_52.jpg,cross_word_52_solution.jpg,
53,cross_word_53,Cole Burnham,,easy crosswords v53,cross_word_53.jpg,cross_word_53_solution.jpg,
54,cross_word_54,Cole Burnham,,easy crosswords v54,cross_word_54.jpg,cross_word_54_solution.jpg,
55,cross_word_55,Cole Burnham,,easy crosswords v55,cross_word_55.jpg,cross_word_55_solution.jpg,
56,cross_word_56,Cole Burnham,,easy crosswords v56,cross_word_56.jpg,cross_word_56_solution.jpg,
57,cross_word_57,Cole Burnham,,easy crosswords v57,cross_word_57.jpg,cross_word_57_solution.jpg,
58,cross_word_58,Cole Burnham,,easy crosswords v58,cross_word_58.jpg,cross_word_58_solution.jpg,
59,cross_word_59,Cole Burnham,,easy crosswords v59,cross_word_59.jpg,cross_word_59_solution.jpg,
60,cross_word_60,Cole Burnham,,easy crosswords v60,cross_word_60.jpg,cross_word_60_solution.jpg,
61,cross_word_61,Cole Burnham,,easy crosswords v61,cross_word_61.jpg,cross_word_61_solution.jpg,
62,cross_word_62,Cole Burnham,,easy crosswords v62,cross_word_62.jpg,cross_word_62_solution.jpg,
63,cross_word_63,Cole Burnham,,easy crosswords v63,cross_word_63.jpg,cross_word_63_solution.jpg,
64,cross_word_64,Cole Burnham,,easy crosswords v64,cross_word_64.jpg,cross_word_64_solution.jpg,
65,cross_word_65,Cole Burnham,,easy crosswords v65,cross_word_65.jpg,cross_word_65_solution.jpg,
66,cross_word_66,Cole Burnham,,easy crosswords v66,cross_word_66.jpg,cross_word_66_solution.jpg,
67,cross_word_67,Cole Burnham,,easy crosswords v67,cross_word_67.jpg,cross_word_67_solution.jpg,
68,cross_word_68,Cole Burnham,,easy crosswords v68,cross_word_68.jpg,cross_word_68_solution.jpg,
69,cross_word_69,Cole Burnham,,easy crosswords v69,cross_word_69.jpg,cross_word_69_solution.jpg,
70,cross_word_70,Cole Burnham,,easy crosswords v70,cross_word_70.jpg,cross_word_70_solution.jpg,
71,cross_word_71,Cole Burnham,,easy crosswords v71,cross_word_71.jpg,cross_word_71_solution.jpg,
72,cross_word_72,Cole Burnham,,easy crosswords v72,cross_word_72.jpg,cross_word_72_solution.jpg,
73,cross_word_73,Cole Burnham,,easy crosswords v73,cross_word_73.jpg,cross_word_73_solution.jpg,
74,cross_word_74,Cole Burnham,,easy crosswords v74,cross_word_74.jpg,cross_word_74_solution.jpg,
75,cross_word_75,Cole Burnham,,easy crosswords v75,cross_word_75.jpg,cross_word_75_solution.jpg,
76,cross_word_76,Cole Burnham,,easy crosswords v76,cross_word_76.jpg,cross_word_76_solution.jpg,
77,cross_word_77,Cole Burnham,,easy crosswords v77,cross_word_77.jpg,cross_word_77_solution.jpg,
78,cross_word_78,Cole Burnham,,easy crosswords v78,cross_word_78.jpg,cross_word_78_solution.jpg,
79,cross_word_79,Cole Burnham,,easy crosswords v79,cross_word_79.jpg,cross_word_79_solution.jpg,
80,cross_word_80,Cole Burnham,,easy crosswords v80,cross_word_80.jpg,cross_word_80_solution.jpg,
81,cross_word_81,Cole Burnham,,easy crosswords v81,cross_word_81.jpg,cross_word_81_solution.jpg,
82,cross_word_82,Cole Burnham,,easy crosswords v82,cross_word_82.jpg,cross_word_82_solution.jpg,
83,cross_word_83,Cole Burnham,,easy crosswords v83,cross_word_83.jpg,cross_word_83_solution.jpg,
84,cross_word_84,Cole Burnham,,easy crosswords v84,cross_word_84.jpg,cross_word_84_solution.jpg,
85,cross_word_85,Cole Burnham,,easy crosswords v85,cross_word_85.jpg,cross_word_85_solution.jpg,
86,cross_word_86,Cole Burnham,,easy crosswords v86,cross_word_86.jpg,cross_word_86_solution.jpg,
87,cross_word_87,Cole Burnham,,easy crosswords v87,cross_word_87.jpg,cross_word_87_solution.jpg,
88,cross_word_88,Cole Burnham,,easy crosswords v88,cross_word_88.jpg,cross_word_88_solution.jpg,
89,cross_word_89,Cole Burnham,,easy crosswords v89,cross_word_89.jpg,cross_word_89_solution.jpg,
90,cross_word_90,Cole Burnham,,easy crosswords v90,cross_word_90.jpg,cross_word_90_solution.jpg,
91,cross_word_91,Cole Burnham,,easy crosswords v91,cross_word_91.jpg,cross_word_91_solution.jpg,
92,cross_word_92,Cole Burnham,,easy crosswords v92,cross_word_92.jpg,cross_word_92_solution.jpg,
93,cross_word_93,Cole Burnham,,easy crosswords v93,cross_word_93.jpg,cross_word_93_solution.jpg,
94,cross_word_94,Cole Burnham,,easy crosswords v94,cross_word_94.jpg,cross_word_94_solution.jpg,
95,cross_word_95,Cole Burnham,,easy crosswords v95,cross_word_95.jpg,cross_word_95_solution.jpg,
96,cross_word_96,Cole Burnham,,easy crosswords v96,cross_word_96.jpg,cross_word_96_solution.jpg,
97,cross_word_97,Cole Burnham,,easy crosswords v97,cross_word_97.jpg,cross_word_97_solution.jpg,
98,cross_word_98,Cole Burnham,,easy crosswords v98,cross_word_98.jpg,cross_word_98_solution.jpg,
99,cross_word_99,Cole Burnham,,easy crosswords v99,cross_word_99.jpg,cross_word_99_solution.jpg,
100,cross_word_100,Cole Burnham,,easy crosswords v100,cross_word_100.jpg,cross_word_100_solution.jpg,
101,cross_word_101,Cole Burnham,,easy crosswords v101,cross_word_101.jpg,cross_word_101_solution.jpg,
102,cross_word_102,Cole Burnham,,easy crosswords v102,cross_word_102.jpg,cross_word_102_solution.jpg,
103,cross_word_103,Cole Burnham,,easy crosswords v103,cross_word_103.jpg,cross_word_103_solution.jpg,
104,cross_word_104,Cole Burnham,,easy crosswords v104,cross_word_104.jpg,cross_word_104_solution.jpg,
105,cross_word_105,Cole Burnham,,easy crosswords v105,cross_word_105.jpg,cross_word_105_solution.jpg,
106,cross_word_106,Cole Burnham,,easy crosswords v106,cross_word_106.jpg,cross_word_106_solution.jpg,
107,cross_word_107,Cole Burnham,,easy crosswords v107,cross_word_107.jpg,cross_word_107_solution.jpg,
108,cross_word_108,Cole Burnham,,easy crosswords v108,cross_word_108.jpg,cross_word_108_solution.jpg,
109,cross_word_109,Cole Burnham,,easy crosswords v109,cross_word_109.jpg,cross_word_109_solution.jpg,
110,cross_word_110,Cole Burnham,,easy crosswords v110,cross_word_110.jpg,cross_word_110_solution.jpg,
111,cross_word_111,Cole Burnham,,easy crosswords v111,cross_word_111.jpg,cross_word_111_solution.jpg,
112,cross_word_112,Cole Burnham,,easy crosswords v112,cross_word_112.jpg,cross_word_112_solution.jpg,
113,cross_word_113,Cole Burnham,,easy crosswords v113,cross_word_113.jpg,cross_word_113_solution.jpg,
114,cross_word_114,Cole Burnham,,easy crosswords v114,cross_word_114.jpg,cross_word_114_solution.jpg,
115,cross_word_115,Cole Burnham,,easy crosswords v115,cross_word_115.jpg,cross_word_115_solution.jpg,
116,cross_word_116,Cole Burnham,,easy crosswords v116,cross_word_116.jpg,cross_word_116_solution.jpg,
117,cross_word_117,Cole Burnham,,easy crosswords v117,cross_word_117.jpg,cross_word_117_solution.jpg,
118,cross_word_118,Cole Burnham,,easy crosswords v118,cross_word_118.jpg,cross_word_118_solution.jpg,
119,cross_word_119,Cole Burnham,,easy crosswords v119,cross_word_119.jpg,cross_word_119_solution.jpg,
120,cross_word_120,Cole Burnham,,easy crosswords v120,cross_word_120.jpg,cross_word_120_solution.jpg,
121,cross_word_121,Cole Burnham,,easy crosswords v121,cross_word_121.jpg,cross_word_121_solution.jpg,
122,cross_word_122,Cole Burnham,,easy crosswords v122,cross_word_122.jpg,cross_word_122_solution.jpg,
123,cross_word_123,Cole Burnham,,easy crosswords v123,cross_word_123.jpg,cross_word_123_solution.jpg,
124,cross_word_124,Cole Burnham,,easy crosswords v124,cross_word_124.jpg,cross_word_124_solution.jpg,
125,cross_word_125,Cole Burnham,,easy crosswords v125,cross_word_125.jpg,cross_word_125_solution.jpg,
126,cross_word_126,Cole Burnham,,easy crosswords v126,cross_word_126.jpg,cross_word_126_solution.jpg,
127,cross_word_127,Cole Burnham,,easy crosswords v127,cross_word_127.jpg,cross_word_127_solution.jpg,
128,cross_word_128,Cole Burnham,,easy crosswords v128,cross_word_128.jpg,cross_word_128_solution.jpg,
129,cross_word_129,Cole Burnham,,easy crosswords v129,cross_word_129.jpg,cross_word_129_solution.jpg,
130,cross_word_130,Cole Burnham,,easy crosswords v130,cross_word_130.jpg,cross_word_130_solution.jpg,
131,cross_word_131,Cole Burnham,,easy crosswords v131,cross_word_131.jpg,cross_word_131_solution.jpg,
132,cross_word_132,Cole Burnham,,easy crosswords v132,cross_word_132.jpg,cross_word_132_solution.jpg,
133,cross_word_133,Cole Burnham,,easy crosswords v133,cross_word_133.jpg,cross_word_133_solution.jpg,
134,cross_word_134,Cole Burnham,,easy crosswords v134,cross_word_134.jpg,cross_word_134_solution.jpg,
135,cross_word_135,Cole Burnham,,easy crosswords v135,cross_word_135.jpg,cross_word_135_solution.jpg,
136,cross_word_136,Cole Burnham,,easy crosswords v136,cross_word_136.jpg,cross_word_136_solution.jpg,
137,cross_word_137,Cole Burnham,,easy crosswords v137,cross_word_137.jpg,cross_word_137_solution.jpg,
138,cross_word_138,Cole Burnham,,easy crosswords v138,cross_word_138.jpg,cross_word_138_solution.jpg,
139,cross_word_139,Cole Burnham,,easy crosswords v139,cross_word_139.jpg,cross_word_139_solution.jpg,
140,cross_word_140,Cole Burnham,,easy crosswords v140,cross_word_140.jpg,cross_word_140_solution.jpg,
141,cross_word_141,Cole Burnham,,easy crosswords v141,cross_word_141.jpg,cross_word_141_solution.jpg,
142,cross_word_142,Cole Burnham,,easy crosswords v142,cross_word_142.jpg,cross_word_142_solution.jpg,
143,cross_word_143,Cole Burnham,,easy crosswords v143,cross_word_143.jpg,cross_word_143_solution.jpg,
144,cross_word_144,Cole Burnham,,easy crosswords v144,cross_word_144.jpg,cross_word_144_solution.jpg,
145,cross_word_145,Cole Burnham,,easy crosswords v145,cross_word_145.jpg,cross_word_145_solution.jpg,
146,cross_word_146,Cole Burnham,,easy crosswords v146,cross_word_146.jpg,cross_word_146_solution.jpg,
147,cross_word_147,Cole Burnham,,easy crosswords v147,cross_word_147.jpg,cross_word_147_solution.jpg,
148,cross_word_148,Cole Burnham,,easy crosswords v148,cross_word_148.jpg,cross_word_148_solution.jpg,note 100
